sample_name	unit_name	fq1	fq2
16_1_S1	L001	16_1_S1_L001_R1_001.fastq.gz	16_1_S1_L001_R2_001.fastq.gz
16_2_S2	L001	16_2_S2_L001_R1_001.fastq.gz	16_2_S2_L001_R2_001.fastq.gz
16_3_S3	L001	16_3_S3_L001_R1_001.fastq.gz	16_3_S3_L001_R2_001.fastq.gz
16_4_S4	L001	16_4_S4_L001_R1_001.fastq.gz	16_4_S4_L001_R2_001.fastq.gz
16_5_S5	L001	16_5_S5_L001_R1_001.fastq.gz	16_5_S5_L001_R2_001.fastq.gz
22_1_S6	L001	22_1_S6_L001_R1_001.fastq.gz	22_1_S6_L001_R2_001.fastq.gz
22_2_S7	L001	22_2_S7_L001_R1_001.fastq.gz	22_2_S7_L001_R2_001.fastq.gz
22_3_S8	L001	22_3_S8_L001_R1_001.fastq.gz	22_3_S8_L001_R2_001.fastq.gz
22_4_S9	L001	22_4_S9_L001_R1_001.fastq.gz	22_4_S9_L001_R2_001.fastq.gz
22_5_S10	L001	22_5_S10_L001_R1_001.fastq.gz	22_5_S10_L001_R2_001.fastq.gz
23_1_S11	L001	23_1_S11_L001_R1_001.fastq.gz	23_1_S11_L001_R2_001.fastq.gz
23_2_S12	L001	23_2_S12_L001_R2_001.fastq.gz	23_2_S12_L001_R2_001.fastq.gz
23_3_S13	L001	23_3_S13_L001_R1_001.fastq.gz	23_3_S13_L001_R2_001.fastq.gz
23_4_S14	L001	23_4_S14_L001_R1_001.fastq.gz	23_4_S14_L001_R2_001.fastq.gz
23_5_S15	L001	23_5_S15_L001_R1_001.fastq.gz	23_5_S15_L001_R2_001.fastq.gz
24_1_S16	L001	24_1_S16_L001_R1_001.fastq.gz	24_1_S16_L001_R2_001.fastq.gz
24_2_S17	L001	24_2_S17_L001_R1_001.fastq.gz	24_2_S17_L001_R2_001.fastq.gz
24_3_S18	L001	24_3_S18_L001_R1_001.fastq.gz	24_3_S18_L001_R2_001.fastq.gz
24_4_S19	L001	24_4_S19_L001_R1_001.fastq.gz	24_4_S19_L001_R2_001.fastq.gz
24_5_S20	L001	24_5_S20_L001_R1_001.fastq.gz	24_5_S20_L001_R2_001.fastq.gz
29_1_S21	L001	29_1_S21_L001_R1_001.fastq.gz	29_1_S21_L001_R2_001.fastq.gz
29_2_S22	L001	29_2_S22_L001_R1_001.fastq.gz	29_2_S22_L001_R2_001.fastq.gz
29_3_S23	L001	29_3_S23_L001_R1_001.fastq.gz	29_3_S23_L001_R2_001.fastq.gz
29_4_S24	L001	29_4_S24_L001_R1_001.fastq.gz	29_4_S24_L001_R2_001.fastq.gz
29_5_S25	L001	29_5_S25_L001_R1_001.fastq.gz	29_5_S25_L001_R2_001.fastq.gz
Blank_8_15_23_S26	L001	Blank_8_15_23_S26_L001_R1_001.fastq.gz	Blank_8_15_23_S26_L001_R2_001.fastq.gz
